school_name,area,gender,caste,age,standard,dropout_year
Horizon School,Urban,Male,OBC,6,12th,2020
Greenwood High,Rural,Female,ST,11,3th,2022
Sunrise Academy,Urban,Male,OBC,10,9th,2021
Horizon School,Urban,Male,General,15,2th,2020
Horizon School,Urban,Male,OBC,6,4th,2023
Greenwood High,Urban,Male,General,16,1th,2021
Sunrise Academy,Rural,Male,SC,7,7th,2020
Riverdale Public,Rural,Female,ST,9,11th,2024
Riverdale Public,Rural,Female,General,10,9th,2022
Sunrise Academy,Urban,Female,ST,14,11th,2021
Riverdale Public,Rural,Female,ST,17,12th,2020
Greenwood High,Urban,Female,General,7,6th,2023
Riverdale Public,Urban,Female,SC,8,11th,2024
Horizon School,Urban,Male,OBC,7,12th,2020
Riverdale Public,Rural,Male,OBC,9,12th,2023
Greenwood High,Rural,Male,SC,7,11th,2023
Sunrise Academy,Rural,Female,OBC,17,11th,2022
Horizon School,Rural,Male,ST,8,6th,2022
Riverdale Public,Rural,Female,General,11,8th,2020
Horizon School,Urban,Male,SC,8,11th,2024
Greenwood High,Rural,Female,ST,10,6th,2023
Horizon School,Urban,Male,General,13,5th,2020
Greenwood High,Rural,Male,SC,7,5th,2022
Horizon School,Urban,Male,General,7,9th,2022
Greenwood High,Urban,Male,ST,16,4th,2023
Sunrise Academy,Rural,Female,OBC,10,3th,2024
Riverdale Public,Rural,Male,OBC,12,10th,2022
Riverdale Public,Rural,Female,SC,10,5th,2024
Horizon School,Rural,Male,General,17,12th,2021
Riverdale Public,Rural,Male,ST,15,11th,2022
Greenwood High,Urban,Female,OBC,10,3th,2024
Riverdale Public,Rural,Male,SC,12,8th,2020
Horizon School,Urban,Female,SC,13,9th,2024
Greenwood High,Urban,Male,ST,10,4th,2023
Riverdale Public,Rural,Female,General,7,4th,2020
Riverdale Public,Rural,Male,ST,7,4th,2024
Horizon School,Rural,Female,SC,10,1th,2022
Horizon School,Rural,Female,OBC,14,2th,2021
Sunrise Academy,Rural,Male,ST,6,4th,2022
Sunrise Academy,Rural,Male,SC,15,5th,2023
Riverdale Public,Rural,Male,SC,9,3th,2024
Riverdale Public,Urban,Male,SC,14,8th,2022
Horizon School,Rural,Male,ST,8,4th,2024
Greenwood High,Urban,Male,ST,11,7th,2023
Greenwood High,Rural,Male,SC,13,10th,2024
Horizon School,Rural,Female,General,17,5th,2020
Sunrise Academy,Rural,Male,OBC,16,3th,2023
Greenwood High,Urban,Female,OBC,17,7th,2021
Horizon School,Rural,Female,SC,13,3th,2021
Riverdale Public,Urban,Male,ST,10,5th,2020
Greenwood High,Rural,Female,ST,9,3th,2022
Greenwood High,Urban,Female,ST,15,7th,2020
Horizon School,Urban,Male,General,10,10th,2024
Sunrise Academy,Urban,Male,ST,14,10th,2023
Horizon School,Rural,Female,ST,14,10th,2020
Horizon School,Urban,Male,SC,15,8th,2021
Horizon School,Rural,Male,General,17,9th,2022
Greenwood High,Urban,Male,SC,11,7th,2023
Riverdale Public,Rural,Female,SC,14,10th,2021
Greenwood High,Urban,Male,OBC,16,10th,2023
Horizon School,Rural,Male,General,17,12th,2022
Greenwood High,Rural,Female,SC,7,3th,2021
Sunrise Academy,Rural,Male,ST,13,4th,2021
Sunrise Academy,Rural,Male,ST,9,4th,2021
Riverdale Public,Rural,Male,SC,8,3th,2021
Horizon School,Rural,Female,OBC,9,3th,2024
Greenwood High,Rural,Female,ST,15,5th,2024
Greenwood High,Rural,Female,ST,15,5th,2021
Greenwood High,Urban,Male,SC,11,1th,2024
Greenwood High,Urban,Female,General,7,7th,2020
Greenwood High,Urban,Male,OBC,14,2th,2024
Horizon School,Urban,Male,OBC,9,11th,2023
Greenwood High,Urban,Male,SC,8,6th,2020
Greenwood High,Rural,Male,OBC,13,6th,2024
Riverdale Public,Urban,Female,SC,8,8th,2021
Greenwood High,Rural,Male,OBC,16,1th,2022
Greenwood High,Rural,Female,SC,15,3th,2021
Greenwood High,Urban,Male,General,9,12th,2020
Greenwood High,Urban,Female,OBC,14,4th,2023
Riverdale Public,Rural,Male,SC,14,10th,2023
Riverdale Public,Urban,Female,General,11,8th,2020
Sunrise Academy,Rural,Male,OBC,12,6th,2021
Horizon School,Urban,Female,SC,9,1th,2022
Greenwood High,Rural,Female,ST,7,12th,2020
Horizon School,Rural,Female,ST,16,7th,2023
Greenwood High,Urban,Male,ST,10,3th,2023
Greenwood High,Urban,Male,OBC,8,11th,2023
Horizon School,Urban,Male,OBC,7,8th,2021
Sunrise Academy,Rural,Male,General,9,9th,2020
Riverdale Public,Urban,Male,General,10,7th,2020
Riverdale Public,Urban,Male,General,16,8th,2023
Sunrise Academy,Urban,Male,ST,10,6th,2022
Greenwood High,Urban,Female,SC,13,7th,2021
Greenwood High,Urban,Male,SC,13,1th,2023
Greenwood High,Urban,Male,ST,7,12th,2022
Riverdale Public,Urban,Male,General,8,9th,2023
Riverdale Public,Rural,Male,General,6,1th,2022
Greenwood High,Rural,Male,SC,6,3th,2024
Greenwood High,Rural,Female,ST,8,7th,2020
Horizon School,Rural,Female,SC,8,9th,2024
Greenwood High,Urban,Male,SC,8,5th,2023
Greenwood High,Urban,Male,ST,17,6th,2021
Greenwood High,Rural,Female,ST,15,12th,2023
Riverdale Public,Rural,Female,SC,10,10th,2021
Horizon School,Urban,Male,General,6,8th,2024
Greenwood High,Urban,Male,OBC,7,5th,2022
Riverdale Public,Rural,Female,General,6,3th,2023
Greenwood High,Urban,Male,OBC,11,6th,2022
Sunrise Academy,Rural,Male,General,8,2th,2023
Riverdale Public,Urban,Female,SC,14,9th,2021
Greenwood High,Urban,Female,General,11,1th,2022
Greenwood High,Rural,Male,SC,16,10th,2022
Horizon School,Rural,Female,ST,15,12th,2023
Horizon School,Urban,Male,ST,6,9th,2020
Greenwood High,Rural,Female,General,10,2th,2021
Horizon School,Urban,Male,General,12,7th,2022
Riverdale Public,Urban,Female,General,7,8th,2020
Riverdale Public,Rural,Male,ST,10,2th,2022
Sunrise Academy,Rural,Male,ST,8,11th,2024
Sunrise Academy,Rural,Male,SC,13,4th,2024
Greenwood High,Urban,Female,General,15,12th,2022
Sunrise Academy,Rural,Male,SC,16,1th,2021
Sunrise Academy,Rural,Male,General,11,2th,2021
Greenwood High,Urban,Female,SC,16,4th,2020
Greenwood High,Urban,Male,ST,13,12th,2020
Riverdale Public,Urban,Male,ST,9,10th,2022
Greenwood High,Urban,Female,ST,15,9th,2022
Greenwood High,Rural,Female,General,12,12th,2023
Riverdale Public,Rural,Male,ST,16,1th,2021
Horizon School,Rural,Male,OBC,11,3th,2024
Horizon School,Urban,Male,ST,16,6th,2020
Greenwood High,Urban,Male,SC,12,7th,2024
Greenwood High,Rural,Male,SC,10,5th,2023
Greenwood High,Urban,Male,ST,14,5th,2020
Sunrise Academy,Urban,Male,ST,6,12th,2020
Greenwood High,Urban,Male,ST,15,7th,2024
Greenwood High,Urban,Male,General,11,1th,2024
Horizon School,Urban,Male,OBC,12,10th,2024
Greenwood High,Rural,Female,ST,13,10th,2023
Horizon School,Rural,Male,ST,17,6th,2021
Sunrise Academy,Rural,Male,SC,14,7th,2020
Riverdale Public,Rural,Male,ST,11,10th,2023
Sunrise Academy,Rural,Female,SC,11,4th,2021
Greenwood High,Urban,Male,ST,16,12th,2021
Horizon School,Urban,Female,SC,17,4th,2021
Sunrise Academy,Rural,Male,OBC,11,7th,2024
Sunrise Academy,Rural,Male,OBC,8,1th,2022
Sunrise Academy,Rural,Male,ST,12,4th,2021
Greenwood High,Urban,Male,General,15,6th,2023
Horizon School,Urban,Male,OBC,6,5th,2023
Riverdale Public,Urban,Male,General,16,4th,2021
Sunrise Academy,Urban,Female,ST,7,12th,2022
Riverdale Public,Urban,Male,ST,10,4th,2020
Riverdale Public,Urban,Female,SC,15,10th,2024
Greenwood High,Rural,Female,ST,13,10th,2020
Riverdale Public,Urban,Male,ST,9,7th,2023
Horizon School,Urban,Male,ST,9,3th,2023
Riverdale Public,Urban,Male,SC,13,3th,2020
Horizon School,Rural,Female,ST,15,8th,2023
Riverdale Public,Urban,Male,SC,13,8th,2021
Greenwood High,Rural,Female,SC,9,6th,2024
Greenwood High,Rural,Female,ST,15,12th,2022
Riverdale Public,Urban,Female,OBC,14,2th,2021
Greenwood High,Rural,Male,SC,7,3th,2024
Greenwood High,Urban,Female,General,15,12th,2021
Sunrise Academy,Rural,Male,ST,15,8th,2024
Horizon School,Urban,Male,OBC,6,7th,2023
Greenwood High,Rural,Female,SC,8,1th,2023
Riverdale Public,Urban,Female,OBC,10,11th,2023
Horizon School,Urban,Male,General,12,11th,2024
Riverdale Public,Urban,Female,ST,11,8th,2021
Sunrise Academy,Rural,Male,OBC,15,2th,2024
Sunrise Academy,Urban,Male,OBC,10,5th,2023
Sunrise Academy,Urban,Male,OBC,10,8th,2024
Horizon School,Urban,Male,OBC,7,3th,2024
Horizon School,Rural,Male,General,10,12th,2024
Greenwood High,Rural,Female,General,13,1th,2022
Greenwood High,Urban,Male,ST,11,11th,2022
Riverdale Public,Rural,Female,ST,11,7th,2021
Horizon School,Rural,Female,SC,9,9th,2024
Horizon School,Urban,Male,SC,7,5th,2024
Greenwood High,Rural,Female,ST,14,9th,2021
Greenwood High,Urban,Male,General,15,9th,2022
Greenwood High,Rural,Male,OBC,16,1th,2021
Greenwood High,Urban,Male,SC,11,3th,2022
Horizon School,Rural,Male,General,7,3th,2020
Riverdale Public,Rural,Female,ST,12,12th,2023
Sunrise Academy,Urban,Male,ST,16,5th,2022
Riverdale Public,Urban,Female,OBC,12,5th,2021
Riverdale Public,Urban,Female,SC,8,6th,2020
Horizon School,Urban,Male,OBC,8,9th,2020
Sunrise Academy,Rural,Male,General,8,12th,2020
Riverdale Public,Rural,Male,General,17,8th,2023
Horizon School,Rural,Female,ST,15,12th,2022
Sunrise Academy,Rural,Female,OBC,8,11th,2024
Horizon School,Rural,Male,ST,8,1th,2024
Greenwood High,Urban,Female,OBC,12,10th,2022
Riverdale Public,Urban,Male,SC,10,3th,2022
Horizon School,Rural,Male,ST,15,7th,2024
Sunrise Academy,Urban,Male,SC,9,1th,2022
Riverdale Public,Rural,Female,ST,11,11th,2022
Sunrise Academy,Urban,Male,SC,15,10th,2022
Greenwood High,Urban,Male,ST,11,9th,2024
Greenwood High,Urban,Male,General,13,5th,2023
Greenwood High,Urban,Female,ST,6,5th,2021
Riverdale Public,Urban,Male,SC,6,7th,2020
Horizon School,Urban,Female,SC,6,6th,2022
Horizon School,Rural,Male,ST,8,9th,2023
Greenwood High,Rural,Female,ST,12,2th,2022
Greenwood High,Urban,Female,ST,8,10th,2020
Sunrise Academy,Urban,Male,ST,7,4th,2024
Sunrise Academy,Urban,Female,ST,8,12th,2024
Riverdale Public,Rural,Male,SC,14,1th,2022
Sunrise Academy,Rural,Male,ST,7,1th,2024
Horizon School,Rural,Male,OBC,11,6th,2021
Riverdale Public,Urban,Male,SC,6,10th,2022
Greenwood High,Rural,Female,SC,17,7th,2023
Greenwood High,Rural,Female,General,12,12th,2023
Horizon School,Rural,Male,ST,14,1th,2021
Greenwood High,Rural,Female,ST,12,2th,2024
Riverdale Public,Rural,Male,General,7,12th,2023
Horizon School,Urban,Male,ST,17,2th,2024
Riverdale Public,Rural,Male,OBC,11,12th,2022
Horizon School,Urban,Female,SC,14,4th,2022
Riverdale Public,Rural,Female,ST,12,10th,2020
Sunrise Academy,Rural,Male,SC,12,5th,2024
Greenwood High,Urban,Male,General,6,8th,2023
Greenwood High,Urban,Male,ST,7,4th,2022
Greenwood High,Rural,Male,OBC,13,12th,2024
Sunrise Academy,Urban,Male,ST,17,7th,2022
Riverdale Public,Urban,Male,ST,12,3th,2022
Greenwood High,Urban,Female,ST,17,8th,2024
Sunrise Academy,Urban,Male,SC,12,2th,2024
Riverdale Public,Rural,Male,SC,7,4th,2021
Sunrise Academy,Rural,Male,SC,14,3th,2024
Riverdale Public,Urban,Male,General,9,12th,2022
Sunrise Academy,Rural,Male,OBC,13,4th,2022
Riverdale Public,Urban,Female,SC,12,7th,2021
Greenwood High,Urban,Male,General,11,10th,2021
Greenwood High,Rural,Male,OBC,16,6th,2023
Riverdale Public,Rural,Female,SC,16,3th,2020
Riverdale Public,Urban,Male,SC,12,1th,2023
Greenwood High,Urban,Male,General,15,2th,2023
Greenwood High,Urban,Male,OBC,16,10th,2023
Horizon School,Urban,Male,ST,7,12th,2022
Sunrise Academy,Rural,Male,SC,11,11th,2020
Greenwood High,Urban,Male,General,6,11th,2023
Greenwood High,Rural,Male,OBC,10,9th,2023
Riverdale Public,Rural,Male,General,9,7th,2024
Riverdale Public,Urban,Female,SC,14,10th,2020
Greenwood High,Urban,Female,OBC,10,10th,2022
Riverdale Public,Urban,Female,SC,15,12th,2023
Sunrise Academy,Urban,Male,ST,6,12th,2020
Horizon School,Rural,Female,ST,12,7th,2024
Sunrise Academy,Rural,Male,OBC,16,3th,2020
Horizon School,Urban,Female,SC,10,11th,2020
Riverdale Public,Urban,Male,General,9,7th,2020
Riverdale Public,Rural,Male,SC,6,1th,2023
Sunrise Academy,Urban,Male,ST,7,6th,2020
Greenwood High,Rural,Female,SC,12,3th,2022
Riverdale Public,Rural,Female,SC,14,5th,2022
Riverdale Public,Urban,Male,ST,10,7th,2024
Horizon School,Urban,Female,SC,8,1th,2020
Sunrise Academy,Urban,Male,OBC,16,2th,2021
Greenwood High,Urban,Male,ST,9,2th,2024
Sunrise Academy,Urban,Male,ST,8,2th,2023
Sunrise Academy,Urban,Female,ST,11,10th,2023
Horizon School,Urban,Male,General,15,4th,2024
Sunrise Academy,Rural,Male,OBC,11,4th,2020
Horizon School,Rural,Female,General,8,7th,2023
Riverdale Public,Rural,Female,ST,6,3th,2023
Riverdale Public,Urban,Female,General,8,4th,2020
Greenwood High,Urban,Male,ST,9,6th,2020
Riverdale Public,Urban,Male,General,17,11th,2021
Greenwood High,Urban,Male,SC,15,12th,2023
Riverdale Public,Urban,Male,General,16,8th,2021
Greenwood High,Urban,Male,SC,14,2th,2024
Horizon School,Rural,Male,ST,6,3th,2024
Horizon School,Urban,Female,SC,7,4th,2021
Riverdale Public,Rural,Female,General,9,6th,2020
Horizon School,Rural,Male,ST,6,6th,2022
Riverdale Public,Urban,Male,ST,6,6th,2024
Riverdale Public,Urban,Male,General,14,1th,2023
Greenwood High,Rural,Male,OBC,16,1th,2020
Riverdale Public,Urban,Female,OBC,12,6th,2022
Greenwood High,Urban,Male,OBC,8,1th,2021
Horizon School,Rural,Female,ST,6,6th,2023
Horizon School,Rural,Female,ST,11,1th,2021
Greenwood High,Urban,Female,SC,9,7th,2020
Greenwood High,Urban,Male,ST,17,5th,2022
Horizon School,Rural,Female,ST,9,8th,2023
Horizon School,Urban,Male,ST,10,5th,2020
Horizon School,Urban,Female,SC,9,5th,2024
Horizon School,Urban,Female,SC,16,1th,2020
Horizon School,Rural,Female,OBC,11,3th,2024
Horizon School,Urban,Male,ST,7,5th,2022
Sunrise Academy,Rural,Male,OBC,7,5th,2022
Riverdale Public,Urban,Female,General,14,11th,2023
Horizon School,Rural,Male,OBC,13,7th,2023
Sunrise Academy,Urban,Male,OBC,8,4th,2023
Horizon School,Rural,Female,ST,14,4th,2023
Horizon School,Rural,Female,SC,6,3th,2022
Riverdale Public,Rural,Female,ST,13,6th,2024
Riverdale Public,Rural,Male,SC,8,1th,2021
Horizon School,Rural,Male,ST,13,12th,2020
Horizon School,Rural,Male,ST,9,7th,2020
Greenwood High,Rural,Male,SC,13,2th,2021
Horizon School,Urban,Male,ST,16,12th,2022
Greenwood High,Urban,Male,ST,6,5th,2022
Greenwood High,Urban,Female,ST,15,7th,2023
Riverdale Public,Urban,Male,General,12,8th,2021
Riverdale Public,Urban,Male,SC,6,8th,2021
Riverdale Public,Urban,Female,ST,7,4th,2020
Sunrise Academy,Rural,Female,SC,13,6th,2023
Sunrise Academy,Urban,Male,OBC,16,8th,2024
Greenwood High,Urban,Male,ST,9,7th,2020
Greenwood High,Rural,Female,ST,10,6th,2022
Sunrise Academy,Rural,Male,OBC,8,5th,2022
Greenwood High,Rural,Female,ST,13,6th,2024
Riverdale Public,Urban,Male,General,13,9th,2021
Horizon School,Urban,Female,SC,13,2th,2024
Greenwood High,Urban,Male,ST,8,10th,2021
Greenwood High,Urban,Female,OBC,8,4th,2022
